0B94D00000049A58 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=18446744072384995195 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001A44B6 [ 37 ADV_IND         crc=1 sig=    18/255 len=46 t=  44982 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001A4657 [ 38 ADV_IND         crc=1 sig=    20/255 len=46 t=    857 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001A47F2 [ 39 ADV_IND         crc=1 sig=    23/255 len=46 t=    742 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001B0595 [ 37 ADV_IND         crc=1 sig=    18/255 len=46 t=  97184 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001B0736 [ 38 ADV_IND         crc=1 sig=    19/255 len=46 t=    824 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001B08D2 [ 39 ADV_IND         crc=1 sig=    22/255 len=46 t=    753 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001B22DE [ 37 ADV_IND         crc=1 sig=    27/255 len=46 t=  13373 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000001BCDC8 [ 37 ADV_IND         crc=1 sig=    19/255 len=46 t=  87551 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001BCF69 [ 38 ADV_IND         crc=1 sig=    19/255 len=46 t=    823 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001C5E24 [ 39 ADV_IND         crc=0 sig=    25/255 len=46 t=  73053 AdvA=78BDBECFAB3E content=%>xu@x>z:
00000000001C9936 [ 39 ADV_IND         crc=1 sig=    23/255 len=46 t=  30275 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001D5946 [ 37 ADV_IND         crc=1 sig=    18/255 len=46 t=  98326 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001D81B0 [ 38 ADV_IND         crc=1 sig=    51/255 len=46 t=  20641 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000001E565C [ 38 ADV_IND         crc=1 sig=    19/255 len=46 t= 108855 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001E57FB [ 39 ADV_IND         crc=1 sig=    21/255 len=46 t=    842 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001EAC8D [ 37 ADV_IND         crc=1 sig=    27/255 len=46 t=  43309 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000001ECECD [ 37 ADV_IND         crc=1 sig=    18/255 len=46 t=  17649 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001ED070 [ 38 ADV_IND         crc=0 sig=    23/255 len=46 t=    946 AdvA=CCB11A8AC6F5 content=%u.8~0]@edOA}sF
00000000001ED20F [ 39 ADV_IND         crc=1 sig=    22/255 len=46 t=    598 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000001F8856 [ 37 ADV_IND         crc=1 sig=    18/255 len=46 t=  93453 AdvA=CCB11A8AC6F5 content=%uB@O$W

1AC5F00008C8C880 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t=  44553 AdvA=CCB11A8AC6F5 content=%uB@O$W
1AC5F00008E1CEC0 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t= 102455 AdvA=CCB11A8AC6F5 content=%uB@O$W
1AC5F00008F99C40 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  97599 AdvA=CCB11A8AC6F5 content=%uB@O$W
1AC5F0000909FE60 [ 37 ADV_IND         crc=1 sig=    44/255 len=46 t=  67060 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1AC5F00009120600 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  32883 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000937AD60 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t= 215980 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB28000946A280 [ 37 ADV_IND         crc=1 sig=    43/255 len=46 t=  58226 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB280009633520 [ 37 ADV_IND         crc=1 sig=    21/255 len=46 t= 117018 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB2800097B9880 [ 37 ADV_IND         crc=0 sig=    21/255 len=46 t=  99878 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB2800099114E0 [ 37 ADV_IND         crc=1 sig=    41/255 len=46 t=  88018 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB280009945500 [ 37 ADV_IND         crc=1 sig=    20/255 len=46 t=  13345 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB280009AC6D00 [ 37 ADV_IND         crc=1 sig=    22/255 len=46 t=  98632 AdvA=CCB11A8AC6F5 content=%uB@O$W
1BEB280009B60300 [ 37 ADV_IND         crc=1 sig=    42/255 len=46 t=  39376 AdvA=78BDBCCFAB3E content=%>xuBx>z:
1BEB280009C3F1A0 [ 37 ADV_IND         crc=0 sig=    21/255 len=46 t=  57017 AdvA=CCB11A8AC6F5 content=%uB@O:$_
