0000000021B6227E [ 38 ADV_IND         crc=0 sig=    45/128 len=46 t=  62376 AdvA=CCB11A8AC6F5 content=%uB@ON$W
libusb_control_transfer: HACKRF_VENDOR_REQUEST_BTLE_CHANNEL: 39
0000000021CAEED6 [ 39 ADV_IND         crc=1 sig=    82/128 len=46 t=  90738 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000021CE513E [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  19257 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000021E3D00E [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t= 105967 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000021EB1934 [ 39 ADV_IND         crc=1 sig=    81/128 len=46 t=  26042 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000021F8B1DC [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  60659 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000002210C752 [ 39 ADV_IND         crc=1 sig=    83/128 len=46 t= 102421 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000002211B7DA [ 39 ADV_IND         crc=0 sig=    40/128 len=46 t=  17757 AdvA=CCB11A8AC6F5 content=%UB@O$ W
000000002229C3CE [ 39 ADV_IND         crc=0 sig=    39/128 len=46 t=  79858 AdvA=CCB11A8AC6F5 content=%uB@O1$W
00000000223556B0 [ 39 ADV_IND         crc=1 sig=    83/128 len=46 t=  52045 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000223628A2 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t=  12808 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
00000000224129E6 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  37076 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000022566250 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  91134 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000002258CDF0 [ 39 ADV_IND         crc=1 sig=    82/128 len=46 t=  10738 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000002259521A [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t=   6407 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
00000000226F687A [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  90818 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000227D6272 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t=  54318 AdvA=78BDBC59D87D content="}YxuBxY}zy|@x
00000000227EB1CE [ 39 ADV_IND         crc=1 sig=    82/128 len=46 t=   8626 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000022865916 [ 39 ADV_IND         crc=0 sig=    39/128 len=48 t=  36298 AdvA=CCB11A8AC675 content='uuB@O1$W
00000000229FEFBE [ 39 ADV_NONCONN_IND crc=1 sig=    12/128 len=43 t= 117974 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
0000000022A13D1C [ 39 ADV_IND         crc=1 sig=    81/128 len=46 t=   3793 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000022B650CA [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  76780 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000022C4A4A8 [ 39 ADV_IND         crc=1 sig=    83/128 len=46 t=  71497 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000022E4A448 [ 39 ADV_IND         crc=0 sig=    40/128 len=46 t= 130107 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000022E660B6 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t=  10506 AdvA=78BDBC59D87D content="}YxuBx[}z[|x
0000000022E8E5A6 [ 39 ADV_IND         crc=1 sig=    81/128 len=46 t=   6877 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000022FC23AA [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  86499 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000230EBD44 [ 39 ADV_IND         crc=1 sig=    82/128 len=46 t=  68038 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000002313F14A [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  32926 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000232BF7A4 [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  92900 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000232F38E4 [ 39 ADV_NONCONN_IND crc=0 sig=    13/128 len=43 t=  10782 AdvA=78BDBC59D87D content="}YxuBxQzY|x
0000000023342F22 [ 39 ADV_IND         crc=1 sig=    81/128 len=46 t=  18350 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000002343C2F8 [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  75956 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000023547520 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t=  59243 AdvA=F8BDBC59D87D content="}YUBzI}zY|x
00000000235AA030 [ 39 ADV_IND         crc=0 sig=    40/128 len=46 t=  27793 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000235AD0A2 [ 39 ADV_IND         crc=0 sig=    80/128 len=46 t=    831 AdvA=78BDBCCFAB3E content=%>xuBx>z:J_c&{t
0000000023715E68 [ 39 ADV_IND         crc=0 sig=    40/128 len=46 t= 102211 AdvA=CCB13A8AC6F5 content=%:uB@OLW
00000000237937CE [ 39 ADV_NONCONN_IND crc=0 sig=    13/128 len=43 t=  22666 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
00000000237EC91E [ 39 ADV_IND         crc=1 sig=    82/128 len=46 t=  17960 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000238A64CC [ 39 ADV_IND         crc=1 sig=    41/128 len=46 t=  58456 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000239E569C [ 39 ADV_NONCONN_IND crc=0 sig=    13/128 len=43 t=  85811 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
0000000023A12B64 [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=   8568 AdvA=CCB11A8AC6F5 content=%uB@O$W

