0000000034BCD4AC [ 39 ADV_IND         crc=1 sig=    98/128 len=46 t=  55660 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000034C4EDAC [ 39 ADV_IND         crc=0 sig=    39/128 len=46 t=  32928 AdvA=CCB11A8ACE75 content=%uuB@O1 W
0000000034E2342C [ 39 ADV_IND         crc=0 sig=    87/128 len=46 t= 122502 AdvA=78BDBCCFAB3E content=%>xuIdc>lQ*j>f0u
0000000034F3C068 [ 39 ADV_IND         crc=0 sig=    39/128 len=46 t=  83834 AdvA=CCB11A8A46F5 content=%FuB@O$W
000000003509C5A8 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  89712 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000035214098 [ 39 ADV_IND         crc=0 sig=    39/128 len=46 t= 100338 AdvA=CCB11A8AC6F5 content=%uB@OW
00000000352ADC06 [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=  31969 AdvA=78BDBCCFAB3E content=%>xuBx>z:
000000003536CBF0 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  60673 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000003549DA58 [ 39 ADV_NONCONN_IND crc=1 sig=    12/128 len=43 t=  74837 AdvA=78BDBC59D87D content="}YxuBxY}zY|x
00000000354F76D2 [ 39 ADV_IND         crc=0 sig=    39/128 len=46 t=  31498 AdvA=CCB13A8A4EF5 content=%N:uB`O$w
00000000354F9C04 [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=   4047 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000357120E2 [ 39 ADV_IND         crc=1 sig=    96/128 len=46 t= 150989 AdvA=78BDBCCFAB3E content=%>xuBx>z:
00000000357A2364 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  26423 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000035931B0C [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t= 102555 AdvA=CCB11A8AC6F5 content=%uB@O$W
000000003595631E [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=  16967 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000035B860DC [ 39 ADV_IND         crc=1 sig=    96/128 len=46 t= 159113 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000035BF4084 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  17432 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000035DE5F3A [ 39 ADV_IND         crc=1 sig=    95/128 len=46 t= 128463 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000035EE4D74 [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  74973 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000360231F8 [ 39 ADV_IND         crc=1 sig=    96/128 len=46 t=  89934 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000036062750 [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  10799 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000361DA6C8 [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  91309 AdvA=CCB11A8AC6F5 content=%uB@O$W
00000000361FAEB8 [ 39 ADV_NONCONN_IND crc=0 sig=    12/128 len=43 t=  10595 AdvA=78BDBC59D87D content="}YxeBAxY}zY|x
000000003628C936 [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=  46281 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000036365ECE [ 39 ADV_IND         crc=0 sig=    40/128 len=46 t=  47800 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000036635B8E [ 39 ADV_IND         crc=0 sig=    39/128 len=46 t= 195386 AdvA=CCB11A8A46F5 content=%Fub@O$W
0000000036973470 [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t= 223052 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000036AA722C [ 39 ADV_IND         crc=1 sig=    39/128 len=46 t=  82574 AdvA=CCB11A8AC6F5 content=%uB@O$W
0000000036ADB766 [ 39 SCAN_REQ        crc=0 sig=    12/128 len=43 t=   8795 ScanA=78BDBC59D87D AdvA=462075FF1B
0000000036BB1A6E [ 39 ADV_IND         crc=1 sig=    97/128 len=46 t=  59718 AdvA=78BDBCCFAB3E content=%>xuBx>z:
0000000036C33066 [ 39 ADV_IND         crc=1 sig=    40/128 len=46 t=  33459 AdvA=CCB11A8AC6F5 content=%uB@O$W
